transformed_feature,feature,mean_abs_shap_log_odds,mean_shap_log_odds,coefficient
num__bureau_score,bureau_score,0.30609801993793123,-0.005537703643697381,-0.38650407725447794
num__debt_to_income,debt_to_income,0.23223165238680224,0.0009328100978229642,0.28824920497902984
num__revolving_utilization,revolving_utilization,0.21110755205991966,-0.0013151284142888175,0.2568917198850436
num__delinquencies_12m,delinquencies_12m,0.20773226430485925,-0.0004945820727860923,0.252554866954128
num__credit_history_months,credit_history_months,0.16858042188189815,2.9206742089918244e-05,-0.2068856757850513
cat__income_verified_Verified,income_verified = Verified,0.13067278546258412,0.0002473529971782314,-0.4833988106603111
num__delinquencies_36m,delinquencies_36m,0.12636487849250155,-0.003060441474222627,0.15886882117346388
cat__channel_Web,channel = Web,0.10130551493008833,0.0007456407636655999,-0.24180979754340076
cat__employment_type_Salaried,employment_type = Salaried,0.10002500122027407,-0.00028653295974445496,-0.20005024033443086
cat__housing_status_Rent,housing_status = Rent,0.09368997941623518,-0.0010323945666318981,-0.19849540281818376
num__inquiries_6m,inquiries_6m,0.09185608081259594,-0.00030199541587841314,0.12410184716278647
cat__purpose_Home improvement,purpose = Home improvement,0.08947687424156402,-0.00035807997527921527,-0.2802866319584998
cat__channel_Mobile,channel = Mobile,0.08560625144927092,-0.0006849519824148864,-0.18541603341683124
cat__employment_type_Public sector,employment_type = Public sector,0.08153834786653393,-0.0010905808236522378,-0.30109829734967686
cat__channel_Branch,channel = Branch,0.07905149585294313,-0.0003252901504869924,-0.22390339456306654
cat__housing_status_Mortgage,housing_status = Mortgage,0.07390429301277651,0.0004407847082381357,-0.17971025001448204
cat__region_Marmara,region = Marmara,0.06009213106212386,-0.0001484191343802127,-0.1346479551973057
cat__housing_status_Owner,housing_status = Owner,0.05679414293505919,0.000658353374504083,-0.15673325681968434
cat__income_verified_Unverified,income_verified = Unverified,0.05589717529897696,-0.00010580882465337127,-0.2067808378243797
cat__employment_type_Self-employed,employment_type = Self-employed,0.05577026472096585,0.0006701552622843247,-0.19712954794434065
cat__region_Central Anatolia,region = Central Anatolia,0.05076384387096555,0.0004905772688496596,-0.14848931904756454
cat__purpose_Vehicle,purpose = Vehicle,0.048842301046790416,-0.00027129043386615084,-0.1594072792294634
num__employment_tenure_months,employment_tenure_months,0.04447218575412509,0.0010248740360569277,-0.05812501992657269
num__monthly_income,monthly_income,0.042315828883667084,0.0010956870871828607,0.05684313334407663
cat__purpose_Education,purpose = Education,0.04218539967590403,0.0005330212181843034,-0.21562437846272808
cat__region_Black Sea,region = Black Sea,0.03781615736036767,-0.0004368635887009199,-0.19160559977255018
cat__region_Mediterranean,region = Mediterranean,0.03724715096757161,0.00045733458898673774,-0.14545502461384505
cat__employment_type_Contract,employment_type = Contract,0.02836487027228811,-0.0006133963513485951,0.1750088951681523
cat__purpose_Debt consolidation,purpose = Debt consolidation,0.026632000626644503,3.767817999613148e-05,0.06696792223887568
cat__housing_status_Family,housing_status = Family,0.025773885974188688,-0.00022542845232463064,-0.15524073883232184
cat__purpose_Other,purpose = Other,0.025721035265691715,-0.00038320075800872815,-0.10706119613913656
cat__employment_type_Retired,employment_type = Retired,0.0240486462632789,-0.0003088172915838368,-0.16691045802442217
num__requested_amount,requested_amount,0.02379520219471617,-0.0006253025797575228,-0.036512227324738945
cat__region_Aegean,region = Aegean,0.020952960511575143,-0.00021454046359375222,-0.06998174985341404
num__monthly_debt_payment,monthly_debt_payment,0.02027930170446175,-0.00022252628030668898,-0.028623633446387013
num__existing_debt,existing_debt,0.015243394803189208,-0.00014910649956427702,-0.02216931015051198
num__open_accounts,open_accounts,0.013577276771101472,-3.574611694252788e-05,0.017011133279622892
num__savings_balance,savings_balance,0.01253079843806386,-9.680428957371176e-05,0.022662427351526328
num__term_months,term_months,0.008233945649117853,-7.661677249591927e-05,0.010339314553934527
cat__channel_Partner,channel = Partner,0.007693053335425785,8.057534023124131e-05,-0.03905042296139161
num__current_account_balance,current_account_balance,0.0035914278984008805,-1.550455951391911e-05,0.006151450152367132
num__prior_customer_months,prior_customer_months,0.0031626829606375183,-3.0317538346853103e-05,-0.004109866187756495
cat__purpose_Medical,purpose = Medical,0.0008436466255771599,-2.4324889943407534e-05,0.0052319150662570235
