approve_max_pd,approval_rate,approved_observed_default_rate,approved_average_pd,approved_exposure,approved_expected_loss
0.06,0.196353087443017,0.05360911777121148,0.041946407503221525,111073280.91,2091902.5517257936
0.07,0.2574388727724824,0.06213779781068899,0.047360780901639955,145869364.62,3103344.4628699217
0.08,0.31313717364276833,0.06749602964531498,0.05222893712000336,179065810.45,4219582.567749926
0.09,0.3649399088271861,0.07131501249148307,0.056889457217006584,209240399.16000003,5377147.583937943
0.1,0.41657687525901366,0.07879029048945484,0.06158625218502573,239564956.68,6668604.545963274
0.11,0.4613344384583506,0.08048868127919512,0.06579786102546017,266813594.59,7957267.111155431
0.12,0.5075010360547036,0.08655887636779357,0.07027644450091391,296202427.32000005,9478709.50218277
0.13,0.5468711147948612,0.09048196423158533,0.07421671826279201,319185785.92,10771545.215915024
0.14,0.5800248653128885,0.09488425264361246,0.0776939980040177,337527483.6,11886262.924455637
0.15,0.6131786158309158,0.0989456609894566,0.08133155486000632,358925701.55999994,13283604.08237445
0.16,0.6437629506837961,0.10493111883610146,0.08481450448948469,378206852.64,14627472.159094539
