risk_decile,applications,defaults,observed_default_rate,average_predicted_pd,minimum_pd,maximum_pd,cumulative_default_capture,lift_vs_portfolio
1,1207,616,0.5103562551781275,0.4604665289610513,0.32711668954618495,0.9483927771278126,0.2711267605633803,2.710144462466597
2,1206,382,0.3167495854063018,0.27599463587316836,0.23590901626988206,0.32707298656738093,0.4392605633802817,1.6820351003199963
3,1207,300,0.24855012427506215,0.2069127428325598,0.18150882637854499,0.23589070573125998,0.5713028169014085,1.3198755499025636
4,1206,276,0.22885572139303484,0.16275689578642394,0.14605158914746189,0.18144505932394475,0.6927816901408451,1.215292376147432
5,1207,185,0.15327257663628832,0.13147755794328428,0.11832525742426866,0.14603213611904642,0.7742077464788732,0.8139232557732475
6,1206,142,0.11774461028192372,0.1074376769265966,0.0966187722768118,0.11832296533545958,0.8367077464788732,0.6252591210613598
7,1206,127,0.10530679933665009,0.08704965364669863,0.07736244787438008,0.09659813225518347,0.8926056338028169,0.5592106223576951
8,1207,113,0.0936205468102734,0.06866519964396502,0.060659388996719646,0.07735471028349997,0.9423415492957746,0.4971531237966323
9,1206,79,0.06550580431177445,0.052175739785323916,0.0434392607894223,0.06065303491325052,0.977112676056338,0.34785542650596774
10,1207,52,0.04308202154101077,0.032395156345849885,0.008698439632736898,0.04342706022641999,1.0,0.22877842864977768
