application_id,application_date,channel,region,employment_type,employment_tenure_months,monthly_income,requested_amount,term_months,existing_debt,monthly_debt_payment,debt_to_income,credit_history_months,delinquencies_12m,delinquencies_36m,revolving_utilization,inquiries_6m,open_accounts,bureau_score,savings_balance,current_account_balance,housing_status,purpose,prior_customer_months,income_verified,gender,age_band,default_12m
APP-0001972,2022-01-01,Mobile,Aegean,Self-employed,119,97454.47,20554.24,48,258723.83,9371.92,0.10056,246,0,1,0.22605,0,11,706,55062.94,73336.95,Rent,Home improvement,59,Verified,Female,40-49,0
APP-0003397,2022-01-01,Mobile,Marmara,Public sector,46,54319.36,69533.63,24,156198.61,5561.95,0.15573,195,0,0,0.74311,1,3,672,6813.74,15277.28,Owner,Medical,118,Verified,Male,40-49,0
APP-0003687,2022-01-01,Mobile,Central Anatolia,Salaried,20,31465.06,120371.55,12,38627.8,11455.48,0.68287,58,1,1,0.26566,0,6,744,23180.3,7942.96,Mortgage,Medical,119,Verified,Male,21-29,1
APP-0004101,2022-01-01,Branch,Marmara,Salaried,62,55302.82,34107.83,60,132866.36,6152.19,0.12152,379,0,0,0.56152,1,9,686,27999.44,42948.25,Owner,Debt consolidation,70,Verified,Male,50-59,0
APP-0004194,2022-01-01,Partner,Marmara,Salaried,71,30227.66,11799.65,18,94006.14,12034.68,0.41982,188,1,1,0.22703,1,8,691,97158.76,20117.25,Mortgage,Education,34,Verified,Female,50-59,0
APP-0004438,2022-01-01,Branch,Marmara,Self-employed,57,44458.49,36475.66,60,236516.29,5817.37,0.14452,30,0,0,0.7003,0,3,682,4274.46,26820.9,Rent,Debt consolidation,24,Verified,Female,21-29,0
APP-0005860,2022-01-01,Web,Marmara,Salaried,65,14132.99,10000.0,36,5371.24,2804.41,0.21808,210,0,0,0.13583,0,4,711,9865.77,9180.98,Rent,Debt consolidation,17,Verified,Female,30-39,0
APP-0007639,2022-01-01,Branch,Black Sea,Self-employed,60,38448.25,10000.0,48,136643.73,5097.34,0.138,203,1,1,0.17264,5,8,709,11335.63,11705.3,Rent,Home improvement,41,Verified,Male,30-39,1
APP-0011964,2022-01-01,Mobile,Central Anatolia,Public sector,99,37790.88,11538.18,24,84812.91,5716.85,0.164,272,1,1,0.17079,0,4,748,97399.9,5462.38,Rent,Home improvement,12,Verified,Female,50-59,0
APP-0012310,2022-01-01,Branch,Central Anatolia,Salaried,113,125893.75,199883.47,24,869697.68,32069.96,0.32089,170,0,1,0.56559,4,7,629,82371.25,27502.76,Rent,Vehicle,54,Verified,Male,30-39,0
