application_id,application_date,channel,region,employment_type,employment_tenure_months,monthly_income,requested_amount,term_months,existing_debt,monthly_debt_payment,debt_to_income,credit_history_months,delinquencies_12m,delinquencies_36m,revolving_utilization,inquiries_6m,open_accounts,bureau_score,savings_balance,current_account_balance,housing_status,purpose,prior_customer_months,income_verified,gender,age_band,default_12m,sample_split,predicted_pd,credit_score,risk_band,recommendation,lgd_assumption,ead_assumption,expected_loss,human_review_required
APP-0002419,2025-01-01,Web,Central Anatolia,Contract,39,24302.6,13666.26,24,18333.06,7110.16,0.316,164,0,1,0.59879,1,6,619,13685.3,16304.43,Owner,Other,11,Verified,Male,40-49,0,out_of_time,0.2948587227019769,554,F,DECLINE_RECOMMENDATION,0.45,13666.26,1813.3271854709035,True
APP-0004263,2025-01-01,Mobile,Black Sea,Public sector,82,29252.94,33588.42,60,195480.63,8415.47,0.30682,206,0,1,0.78453,2,3,561,48229.64,17172.98,Owner,Education,71,Verified,Female,30-39,0,out_of_time,0.3136206591291993,548,F,DECLINE_RECOMMENDATION,0.45,33588.42,4740.310088778771,True
APP-0004504,2025-01-01,Web,Marmara,Self-employed,127,34312.32,21408.59,12,345608.31,11695.51,0.39285,124,1,2,0.47772,2,3,613,16182.22,40378.77,Mortgage,Other,13,Verified,Female,40-49,0,out_of_time,0.3547777409110377,535,F,DECLINE_RECOMMENDATION,0.45,21408.59,3417.881038330785,True
APP-0006780,2025-01-01,Web,Mediterranean,Public sector,54,22751.35,13986.7,24,89653.41,10692.99,0.49561,171,2,2,0.19703,0,4,673,44024.82,11842.31,Mortgage,Vehicle,15,Verified,Female,40-49,0,out_of_time,0.23365072031546943,577,F,DECLINE_RECOMMENDATION,0.45,13986.7,1470.6011384263695,True
APP-0007107,2025-01-01,Branch,Central Anatolia,Self-employed,65,37082.29,46019.11,24,33388.24,2007.35,0.10584,184,0,0,0.41973,2,4,658,14803.12,6170.74,Owner,Vehicle,78,Unverified,Male,40-49,0,out_of_time,0.10928216876128627,643,D,REFER,0.45,46019.11,2263.0806653688887,True
APP-0007929,2025-01-01,Web,Aegean,Retired,136,37505.93,18043.29,60,23959.77,9911.62,0.27229,450,0,0,0.56833,0,4,728,37584.17,11329.32,Rent,Medical,30,Unverified,Male,50-59,0,out_of_time,0.05937755431609998,691,B,APPROVE_RECOMMENDATION,0.45,18043.29,482.11489440726467,False
APP-0008524,2025-01-01,Mobile,Central Anatolia,Self-employed,109,88028.6,44951.83,24,242983.44,17172.87,0.21636,144,0,1,0.51936,0,4,649,30871.89,6782.67,Rent,Home improvement,8,Verified,Male,30-39,0,out_of_time,0.1113805377004899,641,D,REFER,0.45,44951.83,2253.041548209456,True
APP-0009752,2025-01-01,Branch,Aegean,Salaried,81,71292.5,28768.75,60,98983.54,6721.0,0.101,241,0,0,0.50479,0,9,712,146386.31,45719.75,Rent,Debt consolidation,58,Verified,Female,50-59,0,out_of_time,0.06498417490355649,684,C,APPROVE_RECOMMENDATION,0.45,28768.75,841.2810667905109,False
APP-0011304,2025-01-01,Branch,Marmara,Salaried,97,124581.51,48115.49,24,987450.78,16026.8,0.14474,100,0,1,0.12264,1,9,732,30657.07,27883.41,Mortgage,Home improvement,103,Verified,Male,30-39,0,out_of_time,0.038039457385960096,725,B,APPROVE_RECOMMENDATION,0.45,48115.49,823.6292091568151,False
APP-0011587,2025-01-01,Branch,Mediterranean,Salaried,143,100037.6,41933.88,24,177390.86,39969.76,0.41701,125,0,0,0.54546,1,3,630,692364.96,78865.17,Rent,Home improvement,35,Verified,Female,30-39,1,out_of_time,0.19009530531146185,596,E,REFER,0.45,41933.88,3587.1451746723915,True
APP-0011613,2025-01-01,Branch,Marmara,Salaried,80,29913.0,43777.92,36,65672.55,2114.43,0.11134,234,1,1,0.18668,2,2,708,17325.22,11900.29,Mortgage,Other,19,Verified,Male,40-49,0,out_of_time,0.07127731762242336,677,C,APPROVE_RECOMMENDATION,0.45,43777.92,1404.1677189100678,False
APP-0012577,2025-01-01,Branch,Aegean,Public sector,87,31979.34,61274.49,36,19272.92,4394.64,0.19065,196,0,0,0.44125,0,4,749,15020.24,13808.95,Rent,Home improvement,90,Verified,Female,40-49,0,out_of_time,0.030718301890295036,740,B,APPROVE_RECOMMENDATION,0.45,61274.49,847.011726897239,False
APP-0012722,2025-01-01,Branch,Aegean,Salaried,135,43771.46,83914.5,60,84579.31,15672.01,0.38999,112,1,2,0.22794,2,8,707,104501.79,15927.77,Owner,Vehicle,77,Verified,Female,30-39,0,out_of_time,0.17422019777733488,604,E,REFER,0.45,83914.5,6578.820353873776,True
APP-0012811,2025-01-01,Branch,Black Sea,Salaried,56,56802.14,111421.01,24,90208.41,11789.24,0.28928,129,0,2,0.51859,0,4,645,44171.63,11219.61,Family,Other,48,Verified,Male,30-39,0,out_of_time,0.1711238912374371,605,E,REFER,0.45,111421.01,8580.058558562425,True
APP-0015661,2025-01-01,Partner,Black Sea,Salaried,104,63054.87,77974.16,36,177754.62,47685.84,0.79061,143,1,2,0.32271,2,4,590,2660.94,38417.29,Rent,Home improvement,20,Verified,Male,30-39,1,out_of_time,0.5219547354930099,485,F,DECLINE_RECOMMENDATION,0.45,77974.16,18314.541926140333,True
APP-0016575,2025-01-01,Branch,Black Sea,Retired,112,22133.07,34326.0,60,39435.63,4411.53,0.22517,174,0,0,0.1564,0,5,791,57228.03,19967.1,Owner,Medical,134,Verified,Female,40-49,1,out_of_time,0.02339938854103125,761,A,APPROVE_RECOMMENDATION,0.45,34326.0,361.44333497674745,False
APP-0020158,2025-01-01,Mobile,Mediterranean,Salaried,114,18603.34,18564.95,12,33425.89,2303.76,0.207,124,0,0,0.39995,0,2,689,18169.83,17998.51,Mortgage,Vehicle,31,Unverified,Female,40-49,0,out_of_time,0.08258938595060704,665,C,APPROVE_RECOMMENDATION,0.45,18564.95,689.970519316675,False
APP-0024516,2025-01-01,Partner,Mediterranean,Public sector,57,58170.54,67575.09,24,100004.71,10959.66,0.23681,122,2,2,0.36984,0,4,641,149582.87,21636.98,Family,Home improvement,46,Verified,Male,40-49,0,out_of_time,0.2815655227164598,559,F,DECLINE_RECOMMENDATION,0.45,67575.09,8562.066992307817,True
